word_en,word_type_id,word_es
eavesdrop,Verb_R,"escuchar a escondidas, fisgonear"
eavesdropping,Sust,"espionaje, escuchas ilegales"
edge,Sust,"borde, arista, canto, lado, margen, filo, reborde"
edge,Verb_R,"bordear, afilar, avanzar ligeramente, orillar"
edgy,Adj,"nervioso, inquieto"
edible,Adj,comestible 
effort,Sust,esfuerzo
either,Adj,"cualquier, ambos, cada, cualquiera"
either,Adv,tampoco
either,Pron,"cualquiera, cualquiera de los dos"
elderly,Sust,"anciano, mayor"
embed,Verb_R,"incrustar, empotrar"
encourage,Verb_R,"fomentar, alentar, animar, estimular, reforzar, incitar"
endorse,Verb_R,"respaldar, promocionar, apoyar, endosar"
engagement,Sust,"compromiso, cita, enlace, vinculo, encuentro"
ensure,Verb_R,"asegurar, hacer seguro"
entire,Adj,"entero, completo, total, integro"
envelope,Sust,sobre
escalator,Sust,escalera mecánica
essay,Verb_R,"someter a prueba, probar, intentar"
essay,Sust,"ensayo, composición"
estate,Sust,"estado, finca, inmuebles"
even,Adj,"parejo, allanado, igual, liso, llano, plano, par, constante, uniforme"
even,Adv,"aún, hasta, incluso"
even,Verb_R,"allanar, igualar, emparejar"
ever,Adv,"nunca, jamas, alguna vez, siempre"
everywhere,Adv,"en todas partes, donde quiera, por todas partes"
excel,Verb_R,"sobresalir, aventajar"
exhilarating,Adj,estimulante
eyesore,Adj,"desagradable a la vista, monstruosidad"
faint,Adj,"débil, desmayado; desmayado (Sust)"
faint,Verb_R,desmayarse
fairly,Adv,"bastante, justamente, completamente, limpio"
fake,Adj,"falso (adj), falsificación (Sust), falsear (verb_R)"
fall,Verb_I,caer
fallen,Adj,"caido, deshonrado"
fasten,Verb_R,"abrochar, sujetar, asegurar, amarrar"
feature,Sust,"característica, rasgo, prestación, aspecto"
feature,Verb_R,"ofrecer, constar, presentar, delinear"
fee,Sust,"honorario, emolumento, retribución, arancel, tarifa, cargo"
fee,Verb_R,"dar propina, retribuir"
fence,Sust,"cerca, alambrada, cerco, valla, barda"
fence,Verb_R,"cercar, acordonar, alambrar, amurallar, vallar, batirse espada"
fetch,Verb_R,"ir a buscar, traer, extraer, venderse"
fierce,Adj,"fiero, feroz"
filthy,Adj,sucísimo
fine,Verb_R,multar
fine,Sust,multa
fine,Adj,"bueno, hermoso, lindo, bello, bien"
finny,Sust,aleta
fit,Adj,"adecuado, acondicionado, listo, apto, ideal, en forma"
fit,Sust,"ataque, ajuste, arrebato, espasmo, convulsión"
fit,Verb_R,"encajar, caber, ajustar, acomodar, adaptar, adecuar"
fit for,Adv,"adecuado para, apropiado para"
fixed,Adj,"fijo, fijado, alzado"
flask,Sust,frasco
flaw,Verb_R,"agrietar, causar defecto, estropear"
flaw,Sust,"desperfecto, defecto, imperfección, tara"
flea,Sust,pulga
fleet,Sust,"flota, escuadra, armada"
fleet,Adj,veloz
fleet,Verb_R,"pasear, moverse con rapidez, pasar rapidamente"
float,Verb_R,"flotar, flotador (Sust)"
flock,Sust,"rebaño, manada"
flood,Verb_R,inundar
flood,Sust,inundación
foam,Sust,espuma
fool,Sust,"tonto, idiota, necio, imbécil, memo, bufon"
fool,Verb_R,"engañar, embaucar, bromear"
foolish,Adj,"tonto, necio"
footsteps,Sust,pasos
forcibly,Adv,"forzadamente, a la fuerza, violentamente"
fright,Sust,"susto, espanto"
fulfill,Verb_R,"cumplir, realizar"
fur,Sust,"piel, pelaje"
furthermore,Adv,"además, más aún"
gap,Sust,"hueco, cavidad, abertura, fisura, raja, intervalo, brecha"
gather,Verb_R,"reunir, recoger, reunirse"
gaze,Verb_R,mirar fijamente
geeks,Sust,"empollon, loco por internet"
gentle,Sust,"caballeroso, gentil, amable, afable"
gentle,Verb_R,"domar, ser suave"
gherkin,Sust,pepinillo
girder,Sust,viga
gleam,Verb_R,"brillar, resplandecer, relucir"
gleam,Sust,"brillo, resplandor, destello"
glide,Verb_R,"deslizarse, planear"
glittering,Adj,reluciente
glue,Sust,"pegamento; pegar, encolar (Verb_R)"
goatee,Sust,perilla
golden,Adj,"dorado, de oro"
gossip,Sust,chismes
grab,Verb_R,"agarrar, apresar, agarrar fuertemente, arrebatar"
grab,Sust,robo con asalto
grant,Verb_R,"conceder, otorgar"
grant,Sust,"beca, subvención"
greedy,Adj,"codicioso, glotón"
greet,Verb_R,"saludar, dar la bienvenida, recibir"
grimy,Adj,"mugriento, sucio, puerco"
grind,Verb_I,"moler, picar, afilar, pulverizar"
grind,Sust,"trabajo monotono, trabajo pesado"
